Land,Region,Jahr,Besucher,Dauer
Philippinen,Asien,2019,56,2.625
Saudi Arabien,Asien,2019,75,2.82666666666667
Singapur,Asien,2019,159,3.0314465408805
Taiwan,Asien,2019,178,1.67415730337079
Thailand,Asien,2019,93,2.02150537634409
Übriges Süd- und Ostasien,Asien,2019,131,2.48091603053435
Übriges Westasien,Asien,2019,123,2.13008130081301
Vereinigte Arabische Emirate,Asien,2019,70,2.24285714285714
Australien,"Australien, Neuseeland, Ozeanien",2019,341,2.24633431085044
Neuseeland und Ozeanien,"Australien, Neuseeland, Ozeanien",2019,66,3.16666666666667
